service_category,region,occupation,age_group,response_count,avg_importance,avg_frequency,avg_budget_aed,positive_share,negative_share,neutral_share,top_problem,top_needed_service,top_solution_type,need_score,payment_readiness_score,segment_market_strength_score,testability_score,pilot_readiness_score,pilot_priority,pilot_segment,suggested_business_idea
Rural Transport,Delma Island,teacher,18-24,2,2.0,3.5,120.0,0.0,1.0,0.0,Delivery is slow,Grocery delivery,SMS,52.5,100.0,0,0,67.5,Medium priority,Rural Transport | Delma Island | teacher | 18-24,Scheduled rural shuttle and shared delivery network connecting Al Qua'a families and farms with Al Ain services.
Employment,Al Sila,driver,35-44,2,4.0,3.5,120.0,1.0,0.0,0.0,Few job opportunities,Job platform,SMS,70.5,100.0,0,0,67.5,Medium priority,Employment | Al Sila | driver | 35-44,Run more community research before choosing a business idea.
Connectivity,Liwa,homemaker,35-44,1,5.0,4.0,120.0,0.0,0.0,1.0,Poor internet,Internet upgrade,Website,73.0,100.0,0,0,60.0,Medium priority,Connectivity | Liwa | homemaker | 35-44,Run more community research before choosing a business idea.
Employment,Al Sila,homemaker,35-44,1,5.0,4.0,120.0,1.0,0.0,0.0,Few job opportunities,Job platform,Mobile app,73.0,100.0,0,0,60.0,Medium priority,Employment | Al Sila | homemaker | 35-44,Run more community research before choosing a business idea.
Rural Transport,Al Madam,retired,55+,1,3.0,4.0,120.0,0.0,1.0,0.0,Delivery is slow,Grocery delivery,SMS,55.0,100.0,0,0,60.0,Medium priority,Rural Transport | Al Madam | retired | 55+,Scheduled rural shuttle and shared delivery network connecting Al Qua'a families and farms with Al Ain services.
Employment,Delma Island,student,35-44,1,3.0,4.0,120.0,1.0,0.0,0.0,Few job opportunities,Job platform,Community center,55.0,100.0,0,0,60.0,Medium priority,Employment | Delma Island | student | 35-44,Run more community research before choosing a business idea.
Rural Transport,Al Madam,farmer,25-34,2,3.0,2.0,120.0,1.0,0.0,0.0,Public transport is limited,Bus service,Mobile app,51.0,100.0,0,0,60.0,Medium priority,Rural Transport | Al Madam | farmer | 25-34,Scheduled rural shuttle and shared delivery network connecting Al Qua'a families and farms with Al Ain services.
Mobile Healthcare,Ghayathi,retired,18-24,1,5.0,4.0,120.0,0.0,1.0,0.0,Limited healthcare,Telemedicine,SMS,73.0,100.0,0,0,60.0,Medium priority,Mobile Healthcare | Ghayathi | retired | 18-24,"Mobile health checkup and pharmacy pickup service for Al Qua'a families, elderly residents, and farm workers."
Connectivity,Hatta,teacher,18-24,2,4.0,3.5,75.0,0.0,0.0,1.0,Poor internet,Internet upgrade,Mobile app,70.5,62.5,0,0,60.0,Medium priority,Connectivity | Hatta | teacher | 18-24,Run more community research before choosing a business idea.
Rural Transport,Liwa,retired,18-24,1,3.0,4.0,120.0,0.0,1.0,0.0,Delivery is slow,Grocery delivery,Community center,55.0,100.0,0,0,60.0,Medium priority,Rural Transport | Liwa | retired | 18-24,Scheduled rural shuttle and shared delivery network connecting Al Qua'a families and farms with Al Ain services.
Employment,Ghayathi,shop owner,35-44,1,3.0,4.0,120.0,1.0,0.0,0.0,Few job opportunities,Job platform,SMS,55.0,100.0,0,0,60.0,Medium priority,Employment | Ghayathi | shop owner | 35-44,Run more community research before choosing a business idea.
Connectivity,Hatta,shop owner,18-24,2,2.0,2.5,97.5,0.0,0.0,1.0,Poor internet,Internet upgrade,SMS,45.5,81.25,0,0,58.75,Medium priority,Connectivity | Hatta | shop owner | 18-24,Run more community research before choosing a business idea.
Mobile Healthcare,Al Madam,farmer,18-24,2,4.0,3.0,80.0,0.0,1.0,0.0,Limited healthcare,Telemedicine,Community center,67.0,66.67,0,0,58.33,Medium priority,Mobile Healthcare | Al Madam | farmer | 18-24,"Mobile health checkup and pharmacy pickup service for Al Qua'a families, elderly residents, and farm workers."
Rural Transport,Al Madam,farmer,35-44,2,4.0,3.5,60.0,1.0,0.0,0.0,Public transport is limited,Bus service,Community center,70.5,50.0,0,0,57.5,Medium priority,Rural Transport | Al Madam | farmer | 35-44,Scheduled rural shuttle and shared delivery network connecting Al Qua'a families and farms with Al Ain services.
Rural Transport,Masafi,teacher,25-34,2,4.0,3.5,60.0,1.0,0.0,0.0,Public transport is limited,Bus service,Mobile app,70.5,50.0,0,0,57.5,Medium priority,Rural Transport | Masafi | teacher | 25-34,Scheduled rural shuttle and shared delivery network connecting Al Qua'a families and farms with Al Ain services.
Rural Transport,Al Madam,homemaker,18-24,2,5.0,3.5,60.0,0.5,0.5,0.0,Delivery is slow,Bus service,Community center,79.5,50.0,0,0,57.5,Medium priority,Rural Transport | Al Madam | homemaker | 18-24,Scheduled rural shuttle and shared delivery network connecting Al Qua'a families and farms with Al Ain services.
Rural Transport,Al Sila,teacher,35-44,2,4.0,4.0,37.5,1.0,0.0,0.0,Public transport is limited,Bus service,Community center,74.0,31.25,0,0,56.25,Medium priority,Rural Transport | Al Sila | teacher | 35-44,Scheduled rural shuttle and shared delivery network connecting Al Qua'a families and farms with Al Ain services.
Connectivity,Delma Island,student,55+,1,5.0,3.0,120.0,0.0,0.0,1.0,Poor internet,Internet upgrade,Community center,66.0,100.0,0,0,55.0,Medium priority,Connectivity | Delma Island | student | 55+,Run more community research before choosing a business idea.
Rural Transport,Masafi,homemaker,45-54,1,3.0,3.0,120.0,1.0,0.0,0.0,Public transport is limited,Bus service,SMS,48.0,100.0,0,0,55.0,Medium priority,Rural Transport | Masafi | homemaker | 45-54,Scheduled rural shuttle and shared delivery network connecting Al Qua'a families and farms with Al Ain services.
Mobile Healthcare,Masafi,farmer,18-24,1,5.0,3.0,120.0,0.0,1.0,0.0,Limited healthcare,Telemedicine,Website,66.0,100.0,0,0,55.0,Medium priority,Mobile Healthcare | Masafi | farmer | 18-24,"Mobile health checkup and pharmacy pickup service for Al Qua'a families, elderly residents, and farm workers."
